year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,161,851,84.09
2003,1088,191,897,82.44
2004,1087,193,894,82.24
2005,1038,168,870,83.82
2006,1069,172,897,83.91
2007,1058,140,918,86.77
2008,1061,139,922,86.90
2009,1094,145,949,86.75
2010,1050,119,931,88.67
2011,1057,107,950,89.88
2012,1059,102,957,90.37
2013,1042,90,952,91.36
2014,1014,83,931,91.81
2015,1011,72,939,92.88
2016,1076,63,1013,94.14
2017,1043,53,990,94.92
2018,1090,44,1046,95.96
2019,1038,45,993,95.66
2020,967,24,943,97.52
